date,Viaggi
2021-06-01,3.7083333333333335
2021-06-02,5.660714285714286
2021-06-03,7.753378378378378
2021-06-04,6.715952380952381
2021-06-05,5.798388817755015
2021-06-06,5.074039699039699
2021-06-07,6.12257577892043
2021-06-08,7.766510979228486
2021-06-09,10.082080368939058
2021-06-10,10.965473940242829
2021-06-11,9.049431126291553
2021-06-12,6.71306581465027
2021-06-13,4.993958064286827
2021-06-14,3.7228194667664933
2021-06-15,2.7795087034690824
2021-06-16,2.0775965457880163
2021-06-17,1.5542635429907692
2021-06-18,1.8129896131588645
2021-06-19,3.397692782683633
2021-06-20,4.740026411442277
2021-06-21,5.410781805884594
2021-06-22,6.119350303658272
2021-06-23,6.986506189947146
2021-06-24,7.406968197037483
2021-06-25,6.846471015957838
2021-06-26,5.133886666356743
2021-06-27,3.849871468821694
2021-06-28,2.887097940978115
2021-06-29,3.315425444561409
2021-06-30,4.049200122436746
2021-07-01,5.3183200733976985
2021-07-02,5.9367188413712455
2021-07-03,4.452427305514495
2021-07-04,3.3392575800488427
2021-07-05,2.5044078054664105
2021-07-06,1.8782859535835412
2021-07-07,1.4087032713548042
2021-07-08,1.0565211570726816
2021-07-09,1.2819772242286973
2021-07-10,2.721914065685663
2021-07-11,3.176855647299983
2021-07-12,3.070141131809205
2021-07-13,2.3026025924811147
2021-07-14,1.7269501126539877
2021-07-15,1.295211554157301
2021-07-16,1.2526585894542925
2021-07-17,2.7519959547893156
2021-07-18,3.7306646180764464
2021-07-19,4.214665495690906
2021-07-20,3.160998525053756
2021-07-21,2.370748558138564
2021-07-22,1.778061229799859
2021-07-23,3.750213060197059
2021-07-24,7.104327062830475
2021-07-25,8.9740788817336
2021-07-26,8.949309158803583
2021-07-27,6.7119816999723305
2021-07-28,5.033986179843426
2021-07-29,3.7754895813686713
2021-07-30,4.925367222697898
2021-07-31,8.141942160626291
2021-08-01,8.814789965873272
2021-08-02,8.934009142675626
2021-08-03,6.70050683446914
2021-08-04,5.025380113174467
2021-08-05,3.76903507774982
2021-08-06,3.2330263060305704
2021-08-07,3.9456030651313454
2021-08-08,5.480035635856146
2021-08-09,5.891276727630668
2021-08-10,4.418457543739196
2021-08-11,3.313843156688506
2021-08-12,2.4853823668886914
2021-08-13,2.3432034417523933
2021-08-14,5.371985915938439
2021-08-15,5.049822770184187
2021-08-16,5.422783744394216
2021-08-17,7.087087808594896
2021-08-18,7.2736491898046625
2021-08-19,5.944820225552439
2021-08-20,5.041948502429178
2021-08-21,3.7814613767501766
